"","respid","cell","rweight","tv","radio","ooh","online","social","sp_aw","relv","laugh","think","recom","talk","purchase","intent","ID","cluster"
"1137",1744,3,1.771,1,0,0,0,0,0,0,0,0,0,0,0,1,1137,3
"1138",1745,3,0.6695,1,0,0,0,0,0,1,1,0,1,0,1,1,1138,3
"1139",1746,1,0.9082,0,0,0,0,1,0,0,0,1,0,0,0,1,1139,5
"1140",1747,1,2.0775,0,0,0,0,0,1,1,1,0,1,0,0,0,1140,1
"1141",1749,1,0.5486,0,0,0,0,0,1,0,0,0,0,0,0,0,1141,1
"1142",1753,3,0.7265,0,0,0,1,0,0,0,0,1,1,0,0,1,1142,5
"1143",1758,3,0.7103,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,1
"1144",1762,3,0.8294,1,1,1,0,0,0,1,1,1,1,1,1,1,1144,2
"1145",1763,1,1.0301,0,0,0,1,0,1,1,1,1,1,1,1,1,1145,5
"1146",1764,2,0.5832,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,1
"1147",1766,2,0.9355,1,0,0,1,0,1,0,1,0,1,0,0,1,1147,5
"1148",1768,3,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,1
"1149",1769,2,1.2488,0,0,0,0,0,0,1,1,0,0,0,0,1,1149,1
